Date,BCI,BND,HODL,SGOL,SPLG,SPTI,VEA,VGIT,VTI,VWO
2024-06-13,19.92474365234375,70.10814666748047,18.81999969482422,22.010000228881836,62.95528793334961,27.16287612915039,48.40045928955078,56.482669830322266,263.3523864746094,42.279449462890625
2024-06-14,19.92474365234375,70.21443939208984,18.512500762939453,22.280000686645508,62.984893798828125,27.201513290405273,47.964420318603516,56.55030822753906,263.155029296875,42.39570617675781
2024-06-17,19.847366333007812,69.95352935791016,18.864999771118164,22.15999984741211,63.51774215698242,27.11457633972168,48.13883590698242,56.3570671081543,265.1581115722656,42.628231048583984
2024-06-18,19.982776641845703,70.19510650634766,18.197500228881836,22.25,63.65589141845703,27.201513290405273,48.33263397216797,56.540645599365234,265.8290710449219,42.967315673828125
2024-06-20,19.96343231201172,70.05982971191406,18.40250015258789,22.540000915527344,63.49801254272461,27.153215408325195,48.33263397216797,56.453697204589844,265.1581115722656,42.889808654785156
2024-06-21,19.779661178588867,70.07914733886719,18.167499542236328,22.18000030517578,63.34999084472656,27.153215408325195,48.0108642578125,56.4730224609375,264.7535400390625,42.743927001953125
2024-06-24,19.953758239746094,70.1177978515625,16.77750015258789,22.280000686645508,63.204437255859375,27.172531127929688,48.43141174316406,56.49233627319336,264.30950927734375,42.714744567871094
2024-06-25,19.71195411682129,70.15645599365234,17.512500762939453,22.170000076293945,63.451988220214844,27.191852569580078,48.49987030029297,56.50200271606445,265.1778259277344,42.58831787109375
2024-06-26,19.653921127319336,69.82788848876953,17.2450008392334,21.969999313354492,63.53120422363281,27.08559799194336,48.1771240234375,56.299102783203125,265.1679992675781,42.47160720825195
2024-06-27,19.750642776489258,69.95352935791016,17.352500915527344,22.209999084472656,63.610408782958984,27.133895874023438,48.294490814208984,56.38605880737305,265.809326171875,42.4521598815918
2024-06-28,19.663593292236328,69.62498474121094,16.967500686645508,22.219999313354492,63.37276840209961,27.066280364990234,48.3336067199707,56.260459899902344,264.9002990722656,42.55913543701172
2024-07-01,19.760316848754883,69.25758361816406,17.86750030517578,22.280000686645508,63.51139450073242,26.93740463256836,48.37273025512695,56.0152702331543,265.4350280761719,42.65639877319336
2024-07-02,19.769989013671875,69.46115112304688,17.497499465942383,22.260000228881836,63.947086334228516,27.005233764648438,48.480308532714844,56.141258239746094,266.96990966796875,42.81200408935547
2024-07-03,19.92474365234375,69.85857391357422,17.102500915527344,22.520000457763672,64.2243423461914,27.121509552001953,49.057342529296875,56.3835334777832,268.0690612792969,43.44416809082031
2024-07-05,20.021465301513672,70.1784439086914,15.989999771118164,22.829999923706055,64.61051940917969,27.247478485107422,49.37030792236328,56.635501861572266,269.4653015136719,43.43444061279297
2024-07-08,19.765151977539062,70.1784439086914,15.962499618530273,22.530000686645508,64.6798324584961,27.247478485107422,49.15514373779297,56.62581253051758,269.83172607421875,43.43444061279297
2024-07-09,19.63457679748535,70.14936065673828,16.364999771118164,22.56999969482422,64.72933959960938,27.228097915649414,48.9888801574707,56.58705139160156,269.7624206542969,43.61922836303711
2024-07-10,19.605560302734375,70.2075424194336,16.239999771118164,22.670000076293945,65.34326171875,27.228097915649414,49.673492431640625,56.616119384765625,272.3766174316406,43.79428482055664
2024-07-11,19.67326545715332,70.55647277832031,16.22249984741211,23.059999465942383,64.80855560302734,27.363752365112305,49.86909866333008,56.90686798095703,271.15863037109375,44.13468551635742
2024-07-12,19.63457679748535,70.74063873291016,16.299999237060547,23.059999465942383,65.20463562011719,27.431581497192383,50.36788558959961,57.02315139770508,272.95098876953125,44.33892059326172
2024-07-15,19.4508056640625,70.5177001953125,17.9424991607666,23.1299991607666,65.38288116455078,27.383132934570312,49.98645782470703,56.94562911987305,274.1194763183594,43.88181686401367
2024-07-16,19.460477828979492,70.78911590576172,18.450000762939453,23.59000015258789,65.78885650634766,27.450958251953125,50.27986526489258,57.081302642822266,276.3772277832031,44.16386032104492
2024-07-17,19.392770767211914,70.85696411132812,18.28499984741211,23.479999542236328,64.85807037353516,27.470338821411133,49.99623489379883,57.10068130493164,272.47564697265625,43.52197265625
2024-07-18,19.262197494506836,70.67279052734375,17.989999771118164,23.31999969482422,64.35306549072266,27.412200927734375,49.50722885131836,57.00377655029297,270.0990905761719,43.14267349243164
2024-07-19,19.034900665283203,70.4886245727539,19.014999389648438,22.90999984741211,63.93717956542969,27.373441696166992,49.21382141113281,56.89716720581055,268.4156494140625,42.7244758605957
2024-07-22,19.1606388092041,70.45953369140625,19.3125,22.90999984741211,64.6006088256836,27.344375610351562,49.69305419921875,56.868099212646484,271.21807861328125,43.055145263671875
2024-07-23,19.083261489868164,70.46923065185547,18.549999237060547,22.989999771118164,64.47189331054688,27.363752365112305,49.43876647949219,56.90686798095703,271.02001953125,42.607765197753906
2024-07-24,18.98653793334961,70.26567840576172,18.559999465942383,22.920000076293945,63.016292572021484,27.35406494140625,48.82261657714844,56.868099212646484,264.9200744628906,42.1603889465332
2024-07-25,18.918832778930664,70.4207763671875,18.290000915527344,22.549999237060547,62.699432373046875,27.383132934570312,48.519432067871094,56.94562911987305,263.900146484375,42.05341339111328
2024-07-26,18.76407814025879,70.70187377929688,19.2549991607666,22.790000915527344,63.38267135620117,27.48002815246582,49.15514373779297,57.13945007324219,267.05902099609375,42.52023696899414
2024-07-29,18.696372985839844,70.78911590576172,19.042499542236328,22.770000457763672,63.44207763671875,27.509096145629883,48.959537506103516,57.18790054321289,267.0788269042969,42.37435531616211
2024-07-30,18.667356491088867,70.87635040283203,18.642499923706055,22.989999771118164,63.115318298339844,27.538169860839844,49.06712341308594,57.26543045043945,265.9697570800781,42.25764846801758
2024-07-31,18.93817901611328,71.26406860351562,18.46500015258789,23.40999984741211,64.08570861816406,27.693204879760742,49.790855407714844,57.58525085449219,269.91094970703125,43.0745964050293
