,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
VEA,60.395,0.0648571052336868,30000.0,496,0.25,59.09999847412109,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
SGOL,40.14,0.1652341820318187,30000.0,747,0.25,36.400001525878906,2025-10-02 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.33,0.0789451040729051,30000.0,552,0.25,52.40999984741211,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
VEA,60.4,0.0649201446284784,30000.0,496,0.25,59.09999847412109,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
SGOL,39.51,0.1546918565475543,30000.0,759,0.25,37.43999862670898,2025-10-06 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.7056,0.0840769383869809,30000.0,548,0.25,52.40999984741211,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
VEA,60.9106,0.070364488558479,30000.0,492,0.25,59.09999847412109,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
SGOL,39.17,0.1488614515308298,30000.0,765,0.25,37.59000015258789,2025-10-09 00:00:00-04:00,2026-03-18 07:56:46
VWO,54.54,0.0818230518962314,30000.0,550,0.25,52.40999984741211,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
VEA,60.69,0.0685587339976896,30000.0,494,0.25,59.09999847412109,2025-10-10 00:00:00-04:00,2026-03-18 07:56:46
SGOL,39.11,0.1478220224820767,30000.0,767,0.25,38.220001220703125,2025-10-22 00:00:00-04:00,2026-03-18 07:56:46
VWO,55.18,0.090458831546684,30000.0,543,0.25,53.11000061035156,2025-10-14 00:00:00-04:00,2026-03-18 07:56:46
VEA,61.22,0.0751194977285191,30000.0,490,0.25,59.29999923706055,2025-10-14 00:00:00-04:00,2026-03-18 07:56:46
SGOL,37.74,0.1231893570763002,30000.0,794,0.25,37.31480026245117,2025-10-28 00:00:00-04:00,2026-03-18 07:56:46
VWO,55.61,0.0961493544317596,30000.0,539,0.25,53.11000061035156,2025-10-14 00:00:00-04:00,2026-03-18 07:56:46
VTI,337.95,0.0806585453206086,30000.0,88,0.25,322.0799865722656,2025-10-14 00:00:00-04:00,2026-03-18 07:56:46
SGOL,38.34,0.1341940514945863,30000.0,782,0.25,37.310001373291016,2025-10-28 00:00:00-04:00,2026-03-18 07:56:46
VWO,55.19,0.090592183565849,30000.0,543,0.25,54.0099983215332,2025-10-17 00:00:00-04:00,2026-03-18 07:56:46
VEA,61.03,0.0727806320494622,30000.0,491,0.25,60.33000183105469,2025-10-17 00:00:00-04:00,2026-03-18 07:56:46
