,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
XLU,90.18,0.0905871906780139,49500.0,548,0.33,84.22000122070312,2025-09-22 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.06,0.0853895230691072,49500.0,426,0.33,115.3949966430664,2025-10-06 00:00:00-04:00,2026-03-18 07:58:47
XLK,290.2,0.1428867807906074,49500.0,170,0.33,274.25,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLU,90.57,0.0945031835285463,49500.0,546,0.33,85.41999816894531,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,114.92,0.0763166394565462,49500.0,430,0.33,114.6999969482422,2025-10-09 00:00:00-04:00,2026-03-18 07:58:47
XLK,290.2,0.1428867793300449,49500.0,170,0.33,274.25,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLU,90.57,0.0945031882084099,49500.0,546,0.33,85.41999816894531,2025-09-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,114.92,0.0763166413006781,49500.0,430,0.33,114.6999969482422,2025-10-09 00:00:00-04:00,2026-03-18 07:58:47
XLK,278.39,0.1065258930334388,49500.0,177,0.33,278.2799987792969,2025-10-10 00:00:00-04:00,2026-03-18 07:58:47
XLU,90.2,0.0907888437145653,49500.0,548,0.33,86.16000366210938,2025-09-29 00:00:00-04:00,2026-03-18 07:58:47
XLC,112.8,0.0589566283380073,49500.0,438,0.33,112.70999908447266,2025-10-10 00:00:00-04:00,2026-03-18 07:58:47
XLK,285.39,0.128440878825133,49500.0,173,0.33,278.239990234375,2025-10-14 00:00:00-04:00,2026-03-18 07:58:47
XLU,93.095,0.1190628159981018,49500.0,531,0.33,86.58999633789062,2025-09-30 00:00:00-04:00,2026-03-18 07:58:47
XLC,115.42,0.0803180356656319,49500.0,428,0.33,112.70999908447266,2025-10-10 00:00:00-04:00,2026-03-18 07:58:47
XLK,284.3,0.1250993450068037,49500.0,174,0.33,278.239990234375,2025-10-14 00:00:00-04:00,2026-03-18 07:58:47
XLU,92.9,0.1172137110445177,49500.0,532,0.33,87.23999786376953,2025-10-02 00:00:00-04:00,2026-03-18 07:58:47
XLC,115.4,0.0801586481318776,49500.0,428,0.33,112.70999908447266,2025-10-10 00:00:00-04:00,2026-03-18 07:58:47
XLK,288.94,0.1391491061320557,49500.0,171,0.33,278.239990234375,2025-10-14 00:00:00-04:00,2026-03-18 07:58:47
XLU,90.85,0.0972939300397145,49500.0,544,0.33,88.81999969482422,2025-10-06 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.3,0.087198449363894,49500.0,425,0.33,112.70999908447266,2025-10-10 00:00:00-04:00,2026-03-18 07:58:47
XLK,288.34,0.1373577818955398,49500.0,171,0.33,278.239990234375,2025-10-14 00:00:00-04:00,2026-03-18 07:58:47
XLU,90.61,0.094902923683715,49500.0,546,0.33,89.9000015258789,2025-10-07 00:00:00-04:00,2026-03-18 07:58:47
XLC,116.65,0.0900154993092042,49500.0,424,0.33,112.70999908447266,2025-10-10 00:00:00-04:00,2026-03-18 07:58:47
XLK,293.58,0.1527547649410658,49500.0,168,0.33,278.239990234375,2025-10-14 00:00:00-04:00,2026-03-18 07:58:47
XLU,91.39,0.1026277856678022,49500.0,541,0.33,89.83000183105469,2025-10-23 00:00:00-04:00,2026-03-18 07:58:47
